image_id,class_id,x_min,y_min,x_max,y_max
000434271f63a053c4128a0ba6352c7f,14,,,,
00053190460d56c53cc3e57321387478,14,,,,
0006e0a85696f6bb578e84fafa9a5607,14,,,,
000ae00eb3942d27e0b97903dd563a6e,14,,,,
00176f7e1b1cb835123f95960b9a9efd,14,,,,
0021df30f3fddef551eb3df4354b1d06,14,,,,
00291f7aff0123ea76a59998effef229,14,,,,
0032c6091dc8f1b1245fc2f5f45458fa,14,,,,
003cfe5ce5c0ec5163138eb3b740e328,14,,,,
004d2bc2111d639f5e8441ced52d55cb,14,,,,
004dc2a50591fb5f1aaf012bffa95fd9,14,,,,
00575e3846ebd05a909d97ba59c53d30,14,,,,
0059d21bef1793fa9522e4ec8cae1a1a,14,,,,
005be26a68485912e007a3703f43d60a,14,,,,
005d70155f949c7785671800f2c8e1ca,14,,,,
006501b11e04aec2d403177b9ae0f34c,14,,,,
006e2726c6aa72f042a08b1406c39d52,14,,,,
006e5626f560c1a2a74f953d71f16c11,14,,,,
0071fbed56e53f6bfe416b7558b31f98,14,,,,
0076d6a1e3139927fd62459c54276c3c,14,,,,
007a5b30bc5eadb13017059543e0b6be,14,,,,
007c1195aab852cff5c20736be26a1ae,14,,,,
00948e3e6acc03044af454fb9700ca60,14,,,,
00958b3a4705cddb0d3d3b1a2c806f26,14,,,,
009917a5aad749f5237c4cef18f0f235,14,,,,
009fc6795a7be2faa76c6e1005edc418,14,,,,
00a7e1e81b2122e5a0f298155573e549,14,,,,
00a9f697d85a506d5b281f588addce4e,14,,,,
00ad02393a5d0bd1e0dcf3196433499f,14,,,,
00b05e693202bb65a0c0ca7a0201495d,14,,,,
00bedb314b716e802e72799b17edb059,14,,,,
00c4051383149d0dbe166f38b67c9b52,14,,,,
00c726dca086fc483d639dd5f1ca48c0,14,,,,
00ce367afd1ecefd6bcbed64ce1f82b2,14,,,,
00dc70e84d141255f7fc6f8038bdd72e,14,,,,
00e25f831ccd21bd41b558cfccbf1be7,14,,,,
00e9d7e1203324adb7e6fcc02231e3aa,14,,,,
00ef59a43670dc2ae8edc383bcd52d97,14,,,,
00f14d2898f10c7019b359958e6bc3c4,14,,,,
01014f8d2c30a1fabc30f28e7de53467,14,,,,
0101ad90f31ddb8fb24e9935a3dac9db,14,,,,
0102f723b31790a32c35f877eb942bad,14,,,,
0114380e3fbe6089b4c15dc35c4b79e6,14,,,,
011eb641c20dc4eaa472382849a99dd4,14,,,,
0128fe112c2ee94f8ec176109b6ca112,14,,,,
012969950fbdd28bb50cfa447877cd4e,14,,,,
0129a93b23aa71e7ea2b8b988d1c5287,14,,,,
013e3ac3f5ed61cde07f8c54d02b01d0,14,,,,
01415f1554556009b0eaf0ad7ca360bd,14,,,,
014b381459563f39d15b37e327f2766e,14,,,,
014cca776c9bd5da35715042cdd002a0,14,,,,
01551a642641ce4371d7a400666afde1,14,,,,
015bf89fc34cde9fafe7c79366fecee7,14,,,,
015d74d7d2667a9b93b8909283af38c8,14,,,,
017a9ba3b9db23e4f7ba819bdb343f7c,14,,,,
017cd6c78e753ae58e1795fac350f321,14,,,,
01807b02013b5eb9306ce74e5ecd6016,14,,,,
01815f05a4a4e424181a6d3be101dcd0,14,,,,
01892129d76aaa1f59d4b22df8a14c0b,14,,,,
018ea9aab6d856c9f9f299b11504de4e,14,,,,
0191b567f08216ca642e04ef05537169,14,,,,
019456d451d855736ae5c32e2484a100,14,,,,
019668dbdc511714d119c10b87dca089,14,,,,
01a1e85c56486eccd29f3e824e745c2a,14,,,,
01a318b645d42db0cdcaf9a0b7605723,14,,,,
01a93e09220daa5b0316d426b701c76c,14,,,,
01ab9b3948978c95fa9d6d238893d1cc,14,,,,
01abaf7c7b831bba7403d08f56e58a94,14,,,,
01ad4b5b1e69b4fd92ebe4e35d76eeb5,14,,,,
01b0069a8e0221a610294d4697b4abf9,14,,,,
01b0d8debe488c18e4c79624dd8a4f30,14,,,,
01b712e73b89f64803a04c870534e463,14,,,,
01bae93cacf4bd0206de3ac69ce2bfbb,14,,,,
01bf848a4608ddd0988f173bd1a4c849,14,,,,
01c2989f508df064445c45397fd120ba,14,,,,
01c8d075b499b3079616e56503bf9168,14,,,,
01c9bb647fc30bb3f2bf508bb2e7749c,14,,,,
01ce66ee84ef4045a06269aa0f5c2756,14,,,,
01d02854d3b799cf008ade3e0cd449d4,14,,,,
01d74633de293c5790e191d6a544b130,14,,,,
01de1bb192f4e192190408af5cb14c68,14,,,,
01e3254dd8d66c7d004775227bebc596,14,,,,
01f57c9a402a8b1ba7a654d7d13b55ce,14,,,,
01f6f8d96b132d598e6ccfb6039c9902,14,,,,
01fa6111c3fc03f33b2d2f9cc90a9e2f,14,,,,
0204800ac6954c809315ea6e1e6948fe,14,,,,
02079342f9e5f558b5351c222f6394b7,14,,,,
0213efd0f5bcee6b4daafc171ed3a902,14,,,,
0215ea0420992e458caa662118440fe2,14,,,,
021a5634aba535a625ff8b1a6b51df64,14,,,,
022c174090b07df8cddc98f0125d2a28,14,,,,
0235435d2b28a3dcdfd96752a6357780,14,,,,
024ce202d752d81d45df640b67f51d5f,14,,,,
02502114299843075a27e4397b098e8a,14,,,,
0260e11ff2cdaf848530834b9cd00bc1,14,,,,
0261c6d943d853dcc763eac39170d8e2,14,,,,
0266a41a3b7d8870779c528a5b66615e,14,,,,
02752dfc682a936280e042e038f8cf79,14,,,,
0282e15e8d8362733aebb2718f895919,14,,,,
028abf6b0a4e96bcb62f4aeb126735dd,14,,,,
029dfb1193774921840f1d7d72089805,14,,,,
02a838b68096ccfe3db79e5864ba5433,14,,,,
02bdf8a32a04b542b18b937596f1b82d,14,,,,
02bf4c408e34c31bdb2297c3a04c7c21,14,,,,
