image_id,PredictionString
002a34c58c5b758217ed1f584ccbcfe9,0 0.1358625590801239 753 691 988 979 3 0.998415470123291 553 1183 1569 1592 11 0.25628986954689026 1370 294 1585 353 
004f33259ee4aef671c2b95d54e4be68,0 0.9999812841415405 961 586 1228 935 3 0.8978762030601501 580 1480 1516 1791 8 0.07020879536867142 1405 357 1843 649 
008bdde2af2462e86fd373a445d0f4cd,0 0.9999958276748657 1084 819 1381 1157 3 0.9945494532585144 727 1383 1565 1760 
009bc039326338823ca3aa84381f17f1,0 0.9459502100944519 674 484 888 890 0 0.0663614422082901 281 631 569 1019 1 0.17066511511802673 31 575 447 1160 3 0.9986300468444824 432 1039 1330 1323 4 0.10753306746482849 39 614 439 1113 6 0.05946655943989754 21 611 456 1112 7 0.3924144208431244 11 574 431 1180 7 0.09632185846567154 0 699 292 1152 8 0.06942658871412277 1838 572 1898 619 8 0.05109577625989914 1836 585 1878 626 9 0.12995775043964386 30 563 420 1162 9 0.07040292024612427 365 421 497 485 11 0.05177438259124756 1120 271 1363 363 
00a2145de1886cb9eb88869c85d74080,0 0.9985254406929016 795 705 1014 957 3 0.9996925592422485 521 1298 1543 1657 3 0.21202480792999268 843 1337 1845 1630 
00b7e6bfa4dc1fe9ddd0ce74743e38c2,3 0.997334361076355 719 1459 1639 1877 8 0.1532561182975769 1087 1442 1512 1901 9 0.06998637318611145 1089 501 1354 1052 
011295e0bcdc7636569ab73bfdcc4450,14 1 0 0 1 1
013c169f9dad6f1f6485da961b9f7bf2,0 0.9999953508377075 931 721 1200 1016 3 0.1944863200187683 394 1661 1206 1982 5 0.13184282183647156 1194 539 1512 1312 7 0.17364110052585602 1174 512 1481 1246 9 0.8714053630828857 395 416 762 1364 9 0.05181974172592163 477 502 672 704 
01431a2618c0ace741e4e270a37e20b9,0 0.9999731779098511 1024 824 1259 1162 3 0.998404324054718 732 1439 1719 1767 
0168eb925aa6f28a78b16134792f5d0e,2 0.14612530171871185 1428 904 1666 1325 8 0.052798207849264145 1427 924 1672 1289 9 0.28426507115364075 1324 868 1715 1402 9 0.10611425340175629 1421 890 1678 1297 11 0.4195224344730377 700 1754 1210 2153 
016bc723c3ceedb78e27ebfe7032498e,0 0.9960370659828186 632 474 809 704 3 0.9841368198394775 367 1130 1175 1515 6 0.5768033266067505 0 905 353 1259 7 0.8652187585830688 0 857 309 1263 
0171021638f9272a34a41feb84ed47a0,9 0.34003946185112 1458 666 1759 855 
019df578e38053e614d483f7fb347b26,0 0.9999688863754272 997 820 1305 1181 7 0.10805734992027283 0 1757 188 2021 
01ded16689539deb30d0981fafd18465,9 0.11153014749288559 327 1051 683 2262 9 0.050277311354875565 36 1613 223 1850 
01eb30a37b6f5fed8a8d3ab2d1c0a7d6,0 0.9867240786552429 845 457 1280 868 3 0.9527869820594788 281 1266 1329 1621 3 0.5132272243499756 476 1231 1751 1657 3 0.1112198755145073 794 990 1989 1745 5 0.928691565990448 1157 352 1713 1727 5 0.07150536775588989 1054 922 1426 1288 9 0.14498023688793182 1045 1443 1779 1739 9 0.07127600163221359 1129 559 1788 2074 
01f8f17dba6c5e67ba5bcf30ce70ea3f,3 0.988653838634491 831 1348 1858 1805 
02199417ff2a400cff64249f0399f0d7,0 0.9994617104530334 1224 564 1566 921 3 0.9993688464164734 706 1279 1974 1669 5 0.17763930559158325 1189 1237 1690 1734 11 0.8223517537117004 1656 261 1991 382 11 0.1658192276954651 1628 257 2060 454 11 0.1353904902935028 847 251 1147 425 
022a62478444fedf2dea1ba91aafdc48,3 0.9818069934844971 808 1377 1851 1805 8 0.1408752202987671 1171 1349 1724 1812 
02425334e92510da663eb913ad0632ea,0 0.999795138835907 1382 675 1665 985 2 0.058993302285671234 1429 758 1497 869 2 0.052245087921619415 1373 786 1431 875 3 0.27849045395851135 945 1540 1907 1883 9 0.36395543813705444 1300 1646 2045 2015 
024e693014e70d448f650267bed661ae,3 0.9925317168235779 600 1537 1675 1941 
0271d381c3e88527721efcfaf518be71,0 0.9757446050643921 1015 798 1286 1063 2 0.20836196839809418 1036 811 1249 995 3 0.5172261595726013 425 1722 1533 2230 
0291515f5d14c34180a15712a55bf7bd,0 0.9999759197235107 1065 760 1353 1050 3 0.9992105960845947 756 1527 1710 1798 
02b0ad6e22487b7e3f08093c42444b0f,0 0.9360249638557434 664 612 820 853 
02d04b6b6883fd92c12a3dde5d2ff6c0,0 0.9977794289588928 1066 779 1421 1126 3 0.9407832622528076 665 1768 1906 2180 5 0.9513463973999023 1384 570 2196 2198 5 0.37415844202041626 0 930 611 2097 5 0.1158587783575058 1287 731 1894 1975 9 0.22233185172080994 1673 541 2218 2604 
034814210bf2105ecb3e7ed6876f43e9,11 0.05640615522861481 1068 1112 1295 1951 
034b98d64dc012298afb3d33fe880193,0 0.9989084005355835 1096 487 1319 724 3 0.9522175192832947 727 1142 1652 1431 7 0.10167286545038223 1279 1194 1461 1387 
037503b94eb68a16587a78bce365e681,0 0.999980092048645 966 572 1356 953 3 0.9989936947822571 714 1200 1838 1714 5 0.619729220867157 43 754 571 1443 
037dc0be7504c7d1c5ff967f4a0a491a,14 1 0 0 1 1
0386d9b8234215dc50eb1f66eb206d85,0 0.45846423506736755 716 550 836 749 7 0.1409405767917633 114 463 494 1514 8 0.15225830674171448 102 449 514 1454 9 0.26780447363853455 96 460 513 1458 
038f69f3cf0aaa00c9d7337be434f316,7 0.3379760980606079 1964 1540 2254 1956 9 0.5912855863571167 709 1896 1099 2397 9 0.15565642714500427 1960 1539 2238 1963 11 0.6694380044937134 676 612 827 704 
03a2e400656f58841beb7f62584ee3e9,3 0.4247532784938812 470 1375 1260 1752 10 0.06396952271461487 897 1659 987 1790 11 0.0830620750784874 554 455 706 490 
03a395d9fc03a6f8c5a50e693c20ab15,3 0.6768739819526672 396 1280 1251 1609 
03aca410943c7f131b16572f03ee2cf6,0 0.9116193056106567 851 636 1264 1098 3 0.9895426034927368 507 1336 1856 1751 5 0.05249146744608879 1215 1349 1557 1773 7 0.34325623512268066 1235 1323 1534 1748 
03b796fd180662c4e579a4b8894486a9,0 0.9662174582481384 820 520 1507 1284 0 0.3622477948665619 825 608 1323 999 3 0.2881697714328766 371 1525 1450 1949 9 0.09795352071523666 1168 1788 1338 2033 
03caacd475acb947a2f11d1a0d76a971,0 0.9999779462814331 785 567 1052 840 3 0.9845685958862305 390 1468 1366 1831 9 0.14591406285762787 491 321 860 469 11 0.17990918457508087 1175 211 1490 363 
03da4593b25a2e0095170197050cb551,14 1 0 0 1 1
03ea976a276b66285825246525357949,3 0.05030687898397446 572 1573 1601 2044 7 0.05142069235444069 1218 1869 1386 2124 
03f00327702f48c4b6726a0e1649a157,0 0.9984006285667419 672 944 885 1212 3 0.9983844757080078 495 1573 1309 1865 4 0.06589894741773605 12 1353 315 1796 6 0.14232948422431946 762 1298 1076 1650 7 0.26865720748901367 0 1384 335 1786 7 0.07438058406114578 1546 844 1699 984 9 0.6103721261024475 8 1363 319 1786 10 0.05814848840236664 13 1335 360 1821 
03f4ef7ff19190f220b13c0059ac506b,11 0.13215766847133636 621 448 757 592 
03f9ce3f34a38cf5c6411acd8fd4c5ff,3 0.8673387169837952 338 1244 1223 1608 
0403dda5a9bf46457517b604869d530d,9 0.09535728394985199 2649 601 2844 808 
041c40e3f03d9af32b594c5186575a61,0 0.9985159039497375 1026 677 1296 1017 0 0.08238517493009567 764 701 1450 1818 3 0.9978814721107483 698 1354 1836 1828 5 0.177919402718544 1404 1023 1948 1903 
043111cdad4d26204503d3396876046f,9 0.10701069235801697 2413 1017 2857 1579 9 0.061854392290115356 974 980 1325 2273 
045a16fa7dd72c16b7b7d44ff10be428,3 0.925027072429657 448 1393 1501 1877 10 0.057165686041116714 684 1272 1201 1995 
0461006c3061e71f2cf28da9565d7288,3 0.8646474480628967 452 1064 1480 1387 5 0.20967720448970795 1095 770 1469 1459 5 0.13633446395397186 0 947 337 1372 6 0.07749931514263153 2158 1225 2180 1518 7 0.24535420536994934 1134 931 1391 1419 7 0.05436205118894577 1083 1071 1346 1493 9 0.09608203172683716 233 1982 582 2174 9 0.07818635553121567 1133 886 1395 1381 
04669ec4821d2dde14eb2f9a3f47eb7e,0 0.9999579191207886 710 771 1041 1089 0 0.8241903781890869 678 761 882 1085 3 0.998685896396637 450 1440 1244 1678 9 0.5580398440361023 298 548 662 915 11 0.6792528033256531 1116 437 1373 515 
047815a469503dfe21da4a12e2514a15,3 0.9980288147926331 503 1484 1590 1876 9 0.08973968029022217 669 2369 1159 2649 
048ce999447fbb6a58ea17fac775288b,3 0.36543628573417664 581 1567 1676 2080 5 0.4454665780067444 1218 717 1713 2104 
0493431e2beef20230dfc2837e95fe7b,9 0.07843224704265594 2128 79 2402 607 
0493df0059bd251e6dbb0dc71f5c5b45,0 0.9819551110267639 906 359 1407 937 2 0.3992593288421631 1105 347 1295 710 2 0.37877482175827026 950 338 1299 838 3 0.926094651222229 548 1043 1968 1890 4 0.06125514954328537 959 996 1613 1839 7 0.05449790880084038 945 1204 1608 1913 8 0.07587096095085144 888 1041 1632 1866 8 0.05928055942058563 943 404 1329 919 9 0.7189838886260986 782 364 1313 910 9 0.5286911129951477 786 245 2068 2114 9 0.1265830099582672 263 255 836 1248 9 0.11675870418548584 1108 291 1307 707 9 0.05649002641439438 258 175 1715 2138 
04b68e83e611caf345b0a1dc9c65ec88,0 0.9998119473457336 1079 1062 1366 1386 3 0.9586825966835022 634 1735 1688 2153 
04b700c4815f088728db9f093c739707,0 0.9574507474899292 985 1073 1228 1294 3 0.9888864159584045 602 1972 1608 2406 
04c6efbd31a676bb888a4f5bf53d03c1,0 0.9629566073417664 707 773 914 995 0 0.09758693724870682 149 722 344 967 8 0.08987553417682648 92 720 142 816 8 0.06704598665237427 76 560 429 1464 9 0.25171026587486267 93 696 403 1006 9 0.20663194358348846 73 558 431 1496 9 0.07948201894760132 122 922 405 1368 9 0.07632940262556076 238 974 421 1351 
04cc236166c1ff638ff6200f2f2a397d,0 0.9997859597206116 993 471 1242 776 3 0.997244119644165 699 1100 1707 1370 7 0.125067800283432 37 900 265 1121 9 0.2684433162212372 2116 1293 2500 2048 
04da0054eed9aa1c8b95ade5e6c16a00,3 0.1475016474723816 551 1530 1537 1997 
051b1b1edcbaa44059c7b3edbe70c3b8,0 0.9999486207962036 842 681 1055 933 2 0.07249602675437927 881 717 1006 889 3 0.9598925113677979 435 1269 1264 1641 10 0.9072754383087158 39 1234 449 1675 
0538230ced64be2db111ff5d07624db1,3 0.07111164927482605 882 1226 1870 1577 
056815f22ac3de9b9eb6fb963d4cfa5a,9 0.2300713211297989 0 1377 41 1664 
05711a72a0819422965daa93f30b6f75,0 0.9965761303901672 840 778 1046 987 3 0.12596653401851654 853 763 1093 995 3 0.09731603413820267 525 1271 1242 1540 8 0.5357221961021423 123 1208 197 1290 9 0.07215521484613419 560 693 751 1344 9 0.07055490463972092 1246 885 1303 969 
057afd48abd153972bb91397b71b66b8,5 0.34537217020988464 2818 1767 3072 2346 6 0.6575327515602112 2849 1844 3064 2276 
05857909cbf214a6cbdef5306e18d48e,0 0.9999275207519531 723 645 910 898 3 0.9998716115951538 396 1357 1224 1639 
059ad332961631d8d2f4ab468a7e42d3,0 0.9985236525535583 990 736 1284 1122 3 0.2564750611782074 545 1614 1670 2048 
05a548fd37b6e44ab97a48dabee57c21,0 0.9934347867965698 1039 677 1330 974 3 0.1329999715089798 448 1757 1614 2190 5 0.1939377337694168 14 936 521 2060 9 0.14781774580478668 204 250 412 645 11 0.05373001471161842 739 226 971 396 
05a7460866e0d128b5db471431675483,5 0.20619428157806396 1248 673 1866 2050 9 0.0567532554268837 1628 1972 1829 2117 9 0.05200992152094841 200 1255 347 1866 
05dbd765ff84cbb24759b0c135ba4447,0 0.987626850605011 646 755 886 1029 8 0.2098298966884613 1143 566 1277 723 
05e951c63e80999f13e6e09e7ec8439a,0 0.9996809959411621 873 385 1089 622 7 0.3500578999519348 7 790 404 1566 9 0.290635347366333 78 832 418 1682 9 0.061705317348241806 1212 313 1484 797 9 0.06013820320367813 30 1071 297 1482 11 0.1348889023065567 442 98 747 210 
05fd4bbf127858eb83ae01cd454d3e2a,0 0.999901294708252 964 768 1212 1067 3 0.9978098273277283 707 1425 1655 1778 3 0.10005403310060501 979 716 1266 1059 
065473884bfa339d2e464e5394d56fd6,3 0.9712539911270142 461 1414 1363 1813 9 0.15034796297550201 394 1381 922 2038 
069198879ff8140bab6c47c58242a0a4,14 1 0 0 1 1
0713502741102f3e494fb39bbd9f9571,3 0.06923148781061172 462 1697 1612 2115 11 0.09801729023456573 734 426 870 536 
071e3d1deecabb75178035e8dbad8b4d,0 0.9999336004257202 816 713 993 907 3 0.6836743950843811 426 1265 1175 1739 
07229c769cb2c284c1114c6fe7ed3dd6,0 0.9999958276748657 899 815 1161 1138 3 0.8902896046638489 451 1728 1394 2086 
07304e029b89fc007bd64b7c9bb52979,14 1 0 0 1 1
074e3cceb0c1677a1ad0dbff31167d7d,0 0.9981458187103271 774 793 1004 1084 0 0.22632792592048645 1045 1667 1419 2086 3 0.37363401055336 411 1550 1569 2088 4 0.1392916440963745 16 1361 205 1622 6 0.9760507941246033 38 760 543 1499 7 0.1892351657152176 11 1357 158 1558 10 0.12447967380285263 10 1060 339 1948 10 0.10697294026613235 0 1233 563 2026 10 0.06804946810007095 525 1237 1162 2028 11 0.999690055847168 373 426 721 525 11 0.9248436093330383 1241 393 1649 490 11 0.3004625141620636 394 414 577 529 11 0.10541457682847977 445 429 902 513 11 0.06194049119949341 678 433 912 490 11 0.055621188133955 1116 1637 1356 2071 
0764ce517782604a7b81bb6e17c798e9,3 0.19350244104862213 275 1541 1347 2111 
0792bb20718b8006f78094ae449c3c96,0 0.9998025298118591 830 559 1171 936 0 0.07973689585924149 711 517 1289 962 2 0.18865136802196503 883 593 1108 878 3 0.990853488445282 451 1251 1517 1772 3 0.14305204153060913 602 1048 1746 1853 5 0.2414548248052597 0 290 570 1820 
0799063103aea263344a77adbde5b7ca,0 0.9625089168548584 990 826 1204 1055 3 0.9997946619987488 590 1613 1602 1971 9 0.05087780952453613 1339 529 1503 731 
079de341c7b3804c37114b8da3011b45,3 0.8688149452209473 450 1320 1249 1577 9 0.3157462775707245 542 471 712 834 9 0.13990052044391632 490 442 650 792 
07c1810b7cb0d7ef900ab2b0007784cf,0 0.9910665154457092 733 633 906 847 3 0.8857334852218628 297 1336 1057 1678 4 0.3479166030883789 16 1253 273 1720 7 0.085474893450737 3 1278 247 1726 9 0.47504061460494995 13 1235 250 1790 9 0.10394959151744843 0 935 283 1973 
07cdcea9a6c3049d7a02ade9c680d4d7,3 0.1286095529794693 430 1158 1251 1496 
07dcda506753ae678e2cc937f1f8ddf2,9 0.2019961178302765 206 733 402 1116 
07ea0f8d7b7f1fb150c5afb04dc26c9a,0 0.9999831914901733 828 512 1048 737 3 0.2768900394439697 526 1218 1242 1479 
07ee04ca7bb66d99ae283ded05f1af76,3 0.9987300038337708 595 1258 1784 1628 5 0.17536674439907074 1034 691 1641 1587 9 0.20901815593242645 1968 1788 2288 2398 11 0.155596062541008 589 373 804 430 
07ee5d541dcbf1131f0b84aee73d7705,3 0.1433103233575821 624 1184 1686 1531 
07fecb6f57a3d452c4764b1013740141,0 0.9999226331710815 816 687 1083 983 2 0.05668974295258522 955 727 1008 866 3 0.9998666048049927 493 1344 1496 1632 
080fd678b461536e6e1b5d9b17093cdb,0 0.9999912977218628 966 604 1307 1001 3 0.9997782111167908 516 1541 1567 1942 
08504fa0ea409654d6328e51de2fb3b9,9 0.33517223596572876 129 1193 423 1459 9 0.054958775639534 240 1239 402 1472 11 0.15623220801353455 547 476 727 590 11 0.09926902502775192 1450 527 1586 572 
08534e46be27043b31a2b648d7c62350,0 0.9877174496650696 763 684 959 1015 3 0.2215229570865631 398 1423 1278 1785 9 0.835822343826294 345 760 699 1907 
08807797eff7d24d76e4817a3a38477e,0 0.9999498128890991 1119 800 1487 1164 3 0.9968830943107605 731 1541 1766 1934 9 0.10383708775043488 1252 1946 1349 2083 
08cad5510452011e9c519bbbc9741fda,0 0.9962027668952942 932 693 1190 1076 3 0.8028173446655273 721 1625 1698 1945 
08d6125cda5ffceb8f235c96179a7061,0 0.6988949179649353 917 686 1171 984 3 0.9847427606582642 634 1331 1816 1745 5 0.0945868268609047 37 678 799 1737 
08e4edc0d35455c8e25a74b9ed3137b0,3 0.39348849654197693 617 1418 1705 2176 4 0.19324231147766113 1105 1190 1710 2174 8 0.10704469680786133 1093 1200 1687 2175 9 0.16763071715831757 1139 1102 1735 2307 9 0.13408620655536652 918 361 1509 2265 
08ee53ea1825d6e2feffc2a6488f2d7d,0 0.9999619722366333 891 503 1134 811 9 0.07943042367696762 232 998 388 1395 11 0.11169933527708054 759 289 865 393 11 0.05435565859079361 628 283 883 394 
090a90ca6e01ed9f613578c95c151a01,14 1 0 0 1 1
0919cca5a55ea3b156f45b5cd14fe8d3,14 1 0 0 1 1
09291f525b50263a1b90764715395311,0 0.99994957447052 1016 876 1385 1415 3 0.773884117603302 457 1560 1557 2124 4 0.10815440118312836 1183 1171 1809 2050 5 0.5841564536094666 1263 1014 1846 2145 5 0.3383183181285858 64 899 555 1832 6 0.3032180070877075 1157 1493 1571 2060 7 0.159038707613945 1186 1287 1783 2042 8 0.3910883963108063 1200 979 1852 2127 9 0.17447082698345184 1115 823 1871 2240 9 0.15524901449680328 831 458 1003 850 9 0.05748925730586052 1070 931 1369 1466 10 0.10336166620254517 1154 1521 1586 2155 11 0.1322632133960724 1440 464 1665 573 11 0.08722539246082306 1670 455 1901 541 
094d5c1af40f7f565d8d68cf28c06ba5,3 0.9245114326477051 412 1212 1197 1474 
094eac6e63db15465c6283c090398aa8,11 0.651757538318634 1461 470 1780 588 11 0.18599441647529602 1350 472 1671 569 11 0.07801515609025955 1368 466 1568 539 
0956d88d67ce080413b1b3ac20ab8622,0 0.9997851252555847 709 568 915 815 3 0.14757221937179565 393 1313 1271 1771 9 0.0871339812874794 0 65 91 515 
095f8f367727ccd7fc0bf95380399b39,0 0.12867280840873718 697 794 888 1026 9 0.2544316053390503 0 1102 292 1510 
099e4272e7aa6f18b8fa322e1277c6a9,0 0.41489383578300476 935 553 1134 798 1 0.1261189579963684 943 560 1137 821 2 0.18381604552268982 948 583 1132 813 4 0.07586612552404404 948 570 1128 828 9 0.4470342993736267 1182 532 1279 598 9 0.2218785285949707 1182 491 1263 655 9 0.08772866427898407 935 553 1127 804 
09b017424bf8f0c76ba99e4f0dfc0019,3 0.8380739092826843 436 1481 1517 1974 5 0.24588191509246826 996 1259 1453 2000 5 0.1855764091014862 963 812 1194 1113 
09defc0d2204d156a38f8391e491e7b2,3 0.9997616410255432 570 1258 1335 1490 
09f6d7dd9a59caf6c35604c0d0d2b74b,0 0.9999799728393555 910 640 1162 926 3 0.9997188448905945 485 1369 1370 1644 7 0.9065318703651428 5 1478 171 1692 7 0.13535860180854797 2 1397 130 1770 8 0.0630880743265152 901 602 970 660 9 0.8538504838943481 2 1496 159 1763 9 0.29471540451049805 909 586 954 686 9 0.11734908819198608 887 600 966 663 9 0.06501224637031555 14 1533 169 1658 11 0.6386381983757019 716 305 953 399 12 0.3855419456958771 0 1462 180 1809 
0a08191a658edb1327e7282045ec71cf,3 0.13884790241718292 919 1513 1895 2139 9 0.10169244557619095 1078 317 1446 1236 11 0.2255890816450119 581 375 858 458 12 0.10092376172542572 1048 415 1683 1091 
0a1addecfc432a1b425d61fe57bc29d2,3 0.9545639753341675 427 1510 1426 1888 8 0.0738137885928154 1362 633 1435 706 
0a2e45455fe2c76ddbbb5f38ab35f6f2,0 0.9998446702957153 1317 800 1560 1094 3 0.0615355558693409 783 1680 1939 2117 8 0.17323216795921326 2702 899 2902 1515 9 0.06754802912473679 2701 907 2901 1512 
0a6fd1c1d71ff6f9e0f0afa746e223e4,3 0.7770976424217224 576 1634 1650 2101 7 0.18778879940509796 210 1004 674 1370 9 0.10833408683538437 2315 772 2335 913 10 0.9089010953903198 0 896 639 2002 10 0.08015857636928558 88 754 872 2248 11 0.06892208009958267 187 918 685 1378 
